created,text,retwc,hashtag,followers,friends
,,,,,
08-05-2021 07:39,"b'@brettdrc This is the key, surveys can be done in such a way to have a predictable outcome. Just like all city of v\xe2\x80\xa6 https://t.co/CNrguqDkua'",0,None,637,575
,,,,,
08-05-2021 07:39,"b'RT @TboozeSA: ""He\'s a good man and provider for the kids but he treats me bad I\xe2\x80\x99ll stay for the kids""... He\xe2\x80\x99s not a good man. Some moms hav\xe2\x80\xa6'",54,None,344,996
,,,,,
08-05-2021 07:39,"b'@sakuraan33 @Olympics the Japanese population is unvaccinated. Only a money hungry, racist #IOC would hold the Olym\xe2\x80\xa6 https://t.co/NtvrugXAzG'",0,IOC,4205,4863
,,,,,
08-05-2021 07:39,"b'RT @DAATpodcast: In this episode we welcome @sir_o83, member of Belgium With Attitude, on the show! Admir is head coach of the Belgian Olym\xe2\x80\xa6'",1,None,162,134
,,,,,
08-05-2021 07:38,b'RT @yoksig: @DJZJCZ @JWeber988 @AndyPadrutt @BlkSantaX @MrsBlkSantaX @LanceUSA70 @doxie53 @La_Bete_humaine @Nicoxw1 @dr0lst0n @RexThomresis\xe2\x80\xa6',38,None,125,163
,,,,,
08-05-2021 07:38,b'RT @TheConsciousLee: This comment got damn there 10k likes in regards to a video I made about BLM being banned from Olympics.. \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 https://t\xe2\x80\xa6',169,None,516,485
,,,,,
08-05-2021 07:38,"b'@Ruralmaestro @patrickkmaguire If you\xe2\x80\x99re referring to Comrade Corbyn, the man who ignored anti semitism in his own\xe2\x80\xa6 https://t.co/WE9ZYHl7nV'",0,None,30,39
,,,,,
08-05-2021 07:38,b'Help I got second hand embarrassment \xf0\x9f\x98\x8c maotong was the only one who scored the ball into the basket yet they celebr\xe2\x80\xa6 https://t.co/CtOXgw8QuW',0,None,94,90
,,,,,
08-05-2021 07:38,b'Weightlifter Laurel Hubbard set to be the first trans athlete ever at the Olympics / LGBTQ Nation https://t.co/YREgZgOTYl',0,None,2364,4999
,,,,,
08-05-2021 07:38,"b""RT @AFP: \xe2\x80\x9cIt's going ahead\xe2\x80\x9d\nInternational Olympic Committee vice-president John Coates is adamant nothing could stop the Tokyo Olympics fro\xe2\x80\xa6""",21,None,1865,635
,,,,,
08-05-2021 07:38,b'RT @KirenRijiju: I congratulate the Indian duo of Naib Subedar Arjun Jat and Naib Subedar Arvind Singh who have qualified for men\xe2\x80\x99s Light W\xe2\x80\xa6',69,None,7,269
,,,,,
08-05-2021 07:38,b'RT @yoksig: @DJZJCZ @JWeber988 @AndyPadrutt @BlkSantaX @MrsBlkSantaX @LanceUSA70 @doxie53 @La_Bete_humaine @Nicoxw1 @dr0lst0n @RexThomresis\xe2\x80\xa6',38,None,463,212
,,,,,
08-05-2021 07:38,"b'As Japan  figh9 4th wave  , calls to  cancel  Olympics  grow louder'",0,None,265,388
,,,,,
08-05-2021 07:38,b'RT @yoksig: @DJZJCZ @JWeber988 @AndyPadrutt @BlkSantaX @MrsBlkSantaX @LanceUSA70 @doxie53 @La_Bete_humaine @Nicoxw1 @dr0lst0n @RexThomresis\xe2\x80\xa6',38,None,4549,1878
,,,,,
08-05-2021 07:38,b'RT @brettdrc: Who believes this?! \n\nhttps://t.co/M7uxrn2CBN',3,None,637,575
,,,,,
08-05-2021 07:38,b'RT @Media_SAI: Many congratulations to wrestler #SeemaBisla as she secures a #Tokyo2020 quota in women\xe2\x80\x99s 50kg at World Olympic Qualifier in\xe2\x80\xa6',24,SeemaBisla,444,5014
,,,,,
08-05-2021 07:38,"b'Ravinder Pal Singh, member of the gold medal-winning Indian #hockey team at the Moscow 1980 Olympics, has died beca\xe2\x80\xa6 https://t.co/IjNgWNltOc'",0,hockey,414,313
,,,,,
08-05-2021 07:38,"b'RT @365SportsKE: The four boxers who qualified for Tokyo Olympics will be jetting out to Khabarousk, Russia for the EUBC International Boxi\xe2\x80\xa6'",2,None,11,1
,,,,,
08-05-2021 07:37,b'RT @CBCOlympics: Gymnastics Canada said on Friday they have decided not to enter teams in the Pan American Championships being held in Braz\xe2\x80\xa6',3,None,381,1150
,,,,,
08-05-2021 07:37,"b""Yay! That's right! \nI thought for sure this country would support hosting #Olympics !!\n\n#IOC @Olympics\xe2\x80\xa6 https://t.co/qgrMDtjkas""",0,Olympics,375,160
,,,,,
08-05-2021 07:37,b'\xf0\x9f\x93\xa9 A MESSAGE FROM #EDWARDLOOSE \xf0\x9f\x93\xa9\n\xf0\x9f\x8c\x9f For @Tokyo2020 [Tokyo Organising Committee]\n\xf0\x9f\x8c\x9f To debut at the @Tokyo2020\xe2\x80\xa6 https://t.co/mmEpExxpNr',0,EDWARDLOOSE,37,298
,,,,,
08-05-2021 07:37,"b'RT @mari_writes1: #BokuAka // olympics, national team\n\nBokuto has officially been chosen as Japan\xe2\x80\x99s flag bearer at the 2024 Olympic opening\xe2\x80\xa6'",42,BokuAka,39,405
,,,,,
08-05-2021 07:37,b'RT @yoksig: @DJZJCZ @JWeber988 @AndyPadrutt @BlkSantaX @MrsBlkSantaX @LanceUSA70 @doxie53 @La_Bete_humaine @Nicoxw1 @dr0lst0n @RexThomresis\xe2\x80\xa6',38,None,18995,911
,,,,,
08-05-2021 07:37,"b'RT @MTVNEWS: The Olympics are set to be held in Tokyo, but as the Olympic Committee banned Black Lives Matter apparel, people across the gl\xe2\x80\xa6'",417,None,48,63
,,,,,
08-05-2021 07:37,b'RT @Devin_Heroux: JUST IN\n\nOfficial word from World Curling Federation after their statisticians have gone through all scenarios: \n\nFor Can\xe2\x80\xa6',17,None,381,1150
,,,,,
08-05-2021 07:37,"b'RT @URDailyHistory: 8 May 1984: The #USSR pulls out of 1984 Olympics in Los Angeles, #California in retaliation of the U.S. #boycotting the\xe2\x80\xa6'",17,USSR,421,260
,,,,,
08-05-2021 07:37,"b'RT @WilliamsJon: WaPo warns Visa, Coca-Cola &amp; others about sponsoring \xe2\x80\x9cgenocide\xe2\x80\x9d Winter #Olympics in #China next year: \xe2\x80\x9can event orchestrat\xe2\x80\xa6'",1,Olympics,4198,1126
,,,,,
08-05-2021 07:37,b'@USOPMuseum @Olympics USA stay at home!!! Recognize the risk the @Olympics places on the unvaccinated people of Jap\xe2\x80\xa6 https://t.co/k2VVDCaIam',0,None,4205,4863
,,,,,
08-05-2021 07:36,b'Tokyo Olympics questions still to be answered by organisers on COVID-19 and its potential impact on athletes - ABC\xe2\x80\xa6 https://t.co/BL9eQrYh1p',0,None,1757,2417
,,,,,
08-05-2021 07:36,b'RT @JM_Scindia: Saddened by the passing away of Hockey stalwart Shri Ravindra Pal Singh ji. He was part of our 1980 Olympics gold medal win\xe2\x80\xa6',105,None,0,83
,,,,,
08-05-2021 07:36,b'RT @CBCOlympics: Canada still alive at curling worlds with win over China\n\n#CBCCurl \n\nhttps://t.co/0Z2g7LeAer',4,CBCCurl,381,1150
,,,,,
08-05-2021 07:36,b'Tokyo Olympics: Thousands demand games cancelled as Japan extends COVID state of emergency https://t.co/bViRrjom20',0,None,474,4009
,,,,,
08-05-2021 07:36,"b'@ChrisParry @PhilMcC54493209 @Lone58377980 @DonaldJTrumpJr Im betting we agree on a lot of things, this isnt one. W\xe2\x80\xa6 https://t.co/bIZqqEizpq'",0,None,0,4
,,,,,
08-05-2021 07:36,b'RT @JM_Scindia: Saddened by the passing away of Hockey stalwart Shri Ravindra Pal Singh ji. He was part of our 1980 Olympics gold medal win\xe2\x80\xa6',105,None,848,961
,,,,,
08-05-2021 07:36,b'Coates says opposition a \xe2\x80\x98concern\xe2\x80\x99 but Tokyo Olympics will go\xc2\xa0ahead https://t.co/6Lx2UdAlRp',0,None,491,157
,,,,,
08-05-2021 07:36,b'@CaroDiRusso Actually I saw her bearing her behind on TV. I don\xe2\x80\x99t want someone like that representing me at the Oly\xe2\x80\xa6 https://t.co/naBfRSVbPo',0,None,13,57
,,,,,
08-05-2021 07:36,b'Till now 24 Indian female athletes have qualified for Tokyo Olympics 2020. Read every detail of them in our Olympic\xe2\x80\xa6 https://t.co/CwMUnUkKmx',0,None,131,688
,,,,,
08-05-2021 07:36,"b""RT @CBCOlympics: Unfortunately, this summer will be the first time since women's wrestling was introduced to the Olympics in 2004 that @Wre\xe2\x80\xa6""",0,None,381,1150
,,,,,
08-05-2021 07:35,b'RT @SkyNews: A campaign to cancel the Tokyo Olympics is gaining pace - as polls say 80% of Japanese people want the games to be called off\xe2\x80\xa6',32,None,45,61
,,,,,
08-05-2021 07:35,b'RT @todayng: Most Japanese want Tokyo Olympics cancelled https://t.co/DlZ8C6hWae',5,None,620,924
